 >NAME	>POSTION
 >MoveTLD_1_0_Above0	>[1.8970825624936598, 3.826891113726651, 3.0578554120666497, -2.203874725329154, -3.0380627988451807, 1.0709971565942]
 >MoveTLD_1_0_Above	>[2.0318331873294895, 4.318727432268011, 4.027090520247832, -2.293124443992652, -2.0122850522960904, 0.9436676964519854]
 >MoveTLD_1_0_Down	>[2.0318331873294895, 5.116638191731088, 4.027090520247832, -2.293124443992652, -2.0122850522960904, 0.9436676964519854]
 >MoveTLD_2_0_Above0	>[1.6208456457929739, 3.952015742802389, 3.080955405045888, -2.4073642010610183, -2.8500433595694776, 0.5890486225480862]
 >MoveTLD_2_0_Above	>[1.095321937358765, 4.459252056663241, 4.06077791014068, -2.6191837783665415, -1.7088359555769737, 0.18563957194658118]
 >MoveTLD_2_0_Down	>[1.095321937358765, 5.184975437934739, 4.06077791014068, -2.6191837783665415, -1.7088359555769737, 0.18563957194658118]
 >MoveTLD_3_0_Above	>[2.6478308695803054, 3.467879421920775, 1.3503843265483415, -2.597763707402925, 1.3815872534602551, 2.6953437939561917]
 >MoveTLD_3_0_Down0	>[2.6478308695803054, 4.356264954148787, 1.3561593913721783, -2.6013336748441764, 1.3815872534602551, 2.6953437939561917]
 >MoveTLD_3_0_Down	>[2.6478308695803054, 4.509302174609645, 1.5005340145972816, -2.6013336748441764, 1.3827771538353026, 2.6953437939561917]
 >MoveTLD_4_0_Above	>[1.376371718781444, 3.74989113712919, 1.7835083293817056, -2.597763707402925, 1.6945560858119686, 2.4026043332447196]
 >MoveTLD_4_0_Down	>[1.376371718781444, 4.660414195918485, 1.7835083293817056, -2.597763707402925, 1.6767065149218219, 2.4026043332447196]
 >MoveTLD_1_1_Down	>[2.3330952961614315, 4.689289253721561, 2.4986440474234843, -1.90756529717643, 0.9638981333566647, 1.8861456256869777]
 >MoveTLD_2_1_Above	>[0.8989723965094036, 3.740266206633535, 1.878795567394468, 2.282414807985008, 1.2352188546850655, 2.9523830476229334]
 >MoveTLD_2_1_Down	>[0.89800939745923, 4.696988985065198, 1.878795567394468, 2.282414807985008, 1.2352188546850655, 2.9523830476229334]
 >MoveTLD_3_1_Above	>[2.2926685108140283, 3.2503548209280844, 1.997182798386469, -2.7655532424061686, -1.2316459577666095, -2.1895951218802576]
 >MoveTLD_3_1_Down0	>[2.2926685108140283, 3.9645283388680173, 1.9981453979624781, -2.7655532424061686, -1.2304571226559986, -2.1895951218802576]
 >MoveTLD_3_1_Down	>[2.2926685108140283, 4.333164961169548, 2.2349197267884255, -2.7655532424061686, -1.2304571226559986, -2.1895951218802576]
 >MoveTLD_4_1_Above	>[0.9855975699186281, 3.471729287592594, 2.2589821861856185, -2.7655532424061686, -1.2316459577666095, 2.9369127448506624]
 >MoveTLD_4_1_Down0	>[0.9855975699186281, 4.185902805532527, 2.2589821861856185, -2.7655532424061686, -1.2316459577666095, 2.9369127448506624]
 >MoveTLD_4_1_Down	>[0.9855975699186281, 4.393802209713454, 2.412019406646477, -2.7655532424061686, -1.2316459577666095, 2.9369127448506624]
